Ticker,Name,Country,Fundamental Score,ROE %,Sales Growth %,Profit Growth %,Profit Margin %,Debt/Equity,Trailing PE,Forward PE,Trailing EPS,Forward EPS,Improving Score,Revenue Trend,Earnings Trend,Margin Trend,ROE Trend,EPS Trend,Analyst Trend,Was Loss Now Profit,Latest Net Income,Latest Revenue,Latest EPS (Quarterly),Previous EPS (Quarterly)
MAXHEALTH.NS,Max Healthcare,India,79,,16.7,4.8,16.723,32.367,71.57719,45.677433,14.9,23.34851,2,up,flat,flat,flat,flat,up,False,3229600000.0,23661700000.0,3.3,3.5
APOLLOHOSP.NS,Apollo Hospitals,India,80,,20.599999999999998,34.1,7.906000000000001,85.146,61.5528,40.934044,144.9,217.8871,3,up,up,up,flat,up,flat,False,5807000000.0,70435000000.0,40.37,36.76
NH.NS,Narayana Hrudayalaya,India,70,,78.0,5.4,8.996,129.033,46.982716,27.15099,40.5,70.08216,2,up,flat,flat,flat,flat,up,False,2071780000.0,26836340000.0,10.2,11.02
RAINBOW.NS,Rainbow Children's Medicare,India,85,,33.2,13.3,15.68,53.558,51.25356,36.382023,28.08,39.558,1,up,flat,flat,flat,flat,flat,False,605720000.0,4699850000.0,5.97,7.59
LALPATHLAB.NS,Dr Lal PathLabs,India,90,,19.1,27.800000000000004,18.745,7.83,59.050556,44.00226,32.44,43.53413,2,up,up,up,flat,up,down,False,1695000000.0,7977000000.0,10.13,7.85
VIJAYA.NS,Vijaya Diagnostic,India,91,,22.8,37.3,21.874,44.15,85.40571,56.70914,18.24,27.47,4,up,up,up,flat,up,up,False,531011000.0,2309819000.0,5.15,4.65
SUNPHARMA.NS,Sun Pharmaceutical,India,86,,10.5,27.400000000000002,20.188999,5.517,37.13548,28.966198,50.34,64.53729,1,up,up,flat,flat,up,down,False,28947900000.0,151835500000.0,12.1,11.3
DIVISLAB.NS,Divi's Laboratories,India,98,,27.800000000000004,65.7,26.046000000000003,0.042,85.04475,62.525757,110.63,150.47398,1,up,up,flat,flat,up,down,False,9020000000.0,30800000000.0,33.95,28.31
TORNTPHARM.NS,Torrent Pharmaceuticals,India,70,,54.800000000000004,-8.200000000000001,13.874,85.446,79.22806,53.107323,62.44,93.15099,3,up,up,up,flat,up,flat,False,5660000000.0,48350000000.0,14.87,11.51
CIPLA.NS,Cipla,India,58,,3.5000000000000004,-39.2,12.009,1.778,33.10072,21.743631,41.7,63.48066,2,up,flat,flat,flat,flat,up,False,7890500000.0,70770200000.0,9.76,6.86
HDFCBANK.NS,HDFC Bank,India,81,13.838000000000001,16.6,18.099999999999998,26.787,,16.207388,11.759373,45.76,63.06884,-1,flat,flat,flat,flat,flat,down,False,162579100000.0,853464600000.0,10.56,
ICICIBANK.NS,ICICI Bank,India,78,16.073999,11.4,13.8,27.531,,17.38209,14.310637,77.39,94.0,1,up,flat,flat,down,up,up,False,154400600000.0,383657400000.0,21.29,20.36
SBIN.NS,State Bank of India,India,74,15.177,10.299999999999999,9.9,22.375999999999998,,10.645713,9.47423,93.54,105.10616,2,down,up,up,flat,up,up,False,241130000000.0,978142900000.0,26.11,21.28
HDFCLIFE.NS,HDFC Life,India,69,10.828,14.299999999999999,11.899999999999999,1.9,15.885,61.44809,47.06096,9.15,11.94727,0,flat,up,down,flat,up,flat,False,6111900000.0,337267900000.0,2.83,2.3
