Country,AssetClass,Sector,Industry,Name,Symbol,Exchange,Priority,Watchlist,Portfolio,Active,Tags,Notes
USA,Equity,Technology,Consumer Electronics,Apple,AAPL,NASDaq,5,TRUE,FALSE,TRUE,mag7;ai,
USA,Equity,Technology,Software,Microsoft,MSFT,NASDaq,5,TRUE,FALSE,TRUE,mag7;cloud;ai,
USA,Equity,Technology,AI Chips,NVIDIA,NVDA,NASDaq,5,TRUE,FALSE,TRUE,ai;gpu,
USA,Equity,Technology,E-Commerce,Amazon,AMZN,NASDaq,5,TRUE,FALSE,TRUE,mag7;cloud,
USA,Equity,Technology,Internet,Alphabet,GOOGL,NASDaq,5,TRUE,FALSE,TRUE,search;ai,
USA,Equity,Technology,Social Media,Meta Platforms,META,NASDaq,5,TRUE,FALSE,TRUE,ai;ads,
USA,Equity,Technology,Electric Vehicles,Tesla,TSLA,NASDaq,5,TRUE,FALSE,TRUE,ev;robotaxi,

USA,Equity,Semiconductors,CPU,Advanced Micro Devices,AMD,NASDaq,5,TRUE,FALSE,TRUE,ai;chips,
USA,Equity,Semiconductors,Networking,Broadcom,AVGO,NASDaq,5,TRUE,FALSE,TRUE,chips,
USA,Equity,Semiconductors,Foundry,TSMC,TSM,NYSE,5,TRUE,FALSE,TRUE,foundry,
USA,Equity,Semiconductors,Lithography,ASML,ASML,NASDaq,5,TRUE,FALSE,TRUE,lithography,
USA,Equity,Semiconductors,Memory,Micron Technology,MU,NASDaq,5,TRUE,FALSE,TRUE,memory,
USA,Equity,Semiconductors,CPU,Intel,INTC,NASDaq,3,TRUE,FALSE,TRUE,cpu,
USA,Equity,Semiconductors,Chip Design,Arm Holdings,ARM,NASDaq,5,TRUE,FALSE,TRUE,arm,

USA,Equity,Cybersecurity,Security Software,Palo Alto Networks,PANW,NASDaq,5,TRUE,FALSE,TRUE,cyber,
USA,Equity,Cybersecurity,Security Software,CrowdStrike,CRWD,NASDaq,5,TRUE,FALSE,TRUE,cyber,
USA,Equity,Cybersecurity,Security Software,Fortinet,FTNT,NASDaq,4,TRUE,FALSE,TRUE,cyber,
USA,Equity,Cybersecurity,Cloud Security,Cloudflare,NET,NYSE,5,TRUE,FALSE,TRUE,cloud,

USA,Equity,Industrial,Heavy Equipment,Caterpillar,CAT,NYSE,5,TRUE,FALSE,TRUE,construction,
USA,Equity,Industrial,Aerospace,General Dynamics,GD,NYSE,5,TRUE,FALSE,TRUE,defence,
USA,Equity,Industrial,Home Improvement,Home Depot,HD,NYSE,4,TRUE,FALSE,TRUE,housing,
USA,Equity,Industrial,Railroads,Union Pacific,UNP,NYSE,4,TRUE,FALSE,TRUE,railways,
USA,Equity,Industrial,Industrial Automation,Rockwell Automation,ROK,NYSE,5,TRUE,FALSE,TRUE,automation,
USA,Equity,Industrial,Electrical Equipment,Eaton,ETN,NYSE,5,TRUE,FALSE,TRUE,power,
USA,Equity,Industrial,Electrical Equipment,Emerson Electric,EMR,NYSE,4,TRUE,FALSE,TRUE,automation,
USA,Equity,Industrial,Electrical Equipment,Johnson Controls,JCI,NYSE,4,TRUE,FALSE,TRUE,building,

USA,Equity,Healthcare,Medical Devices,Intuitive Surgical,ISRG,NASDaq,5,TRUE,FALSE,TRUE,robotics,
USA,Equity,Healthcare,Diagnostics,IDEXX Laboratories,IDXX,NASDaq,5,TRUE,FALSE,TRUE,diagnostics,
USA,Equity,Healthcare,Pharma,Eli Lilly,LLY,NYSE,5,TRUE,FALSE,TRUE,obesity,
USA,Equity,Healthcare,Pharma,AbbVie,ABBV,NYSE,4,TRUE,FALSE,TRUE,pharma,
